"id1","id2","X_firstname_","X_lastname_","X_email_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match"
60230,76818,0,0,0,0,0,0,0,0,0,1,1,1,0
49425,85558,0,0,0,0,0,0,0,1,0,1,1,1,0
15164,35674,0,0,0,0,0,0,1,0,0,1,1,1,0
79169,82767,0,0,0,0,0,0,1,0,1,1,1,1,0
5223,51245,0,0,0,0,0,0,1,1,0,1,1,1,0
6484,31830,0,0,0,0,0,0,1,1,1,1,1,1,0
80337,85251,0,0,0,0,0,1,0,0,0,1,1,1,0
49407,50821,0,0,0,0,0,1,0,1,0,1,1,1,0
16065,62788,0,0,0,0,0,1,1,0,0,1,1,1,0
7762,56904,0,0,0,0,0,1,1,0,1,1,1,1,0
4558,6110,0,0,0,0,0,1,1,1,0,1,1,1,0
71358,83244,0,0,0,0,1,0,0,0,0,1,1,1,0
43320,66477,0,0,0,0,1,0,0,1,0,1,1,1,0
4925,22387,0,0,0,0,1,0,1,0,0,1,1,1,0
7657,65546,0,0,0,0,1,0,1,0,1,1,1,1,0
57006,95212,0,0,0,0,1,0,1,1,0,1,1,1,0
88181,90971,0,0,0,0,1,1,0,0,0,1,1,1,0
38057,51981,0,0,0,0,1,1,0,1,0,1,1,1,0
79541,81837,0,0,0,0,1,1,1,0,0,1,1,1,0
4749,74223,0,0,0,1,0,0,0,0,0,1,1,1,0
7770,60154,0,0,0,1,0,0,0,1,0,1,1,1,0
85240,98420,0,0,0,1,0,0,1,0,0,1,1,1,0
15989,74960,0,0,0,1,0,0,1,0,1,1,1,1,0
24446,74893,0,0,0,1,0,0,1,1,0,1,1,1,0
71544,85865,0,0,0,1,0,0,1,1,1,1,1,1,0
26124,85746,0,0,0,1,0,1,0,0,0,1,1,1,0
8351,91839,0,0,0,1,0,1,0,1,0,1,1,1,0
50372,83883,0,0,0,1,0,1,1,0,0,1,1,1,0
59034,72390,0,0,0,1,0,1,1,1,0,1,1,1,0
51241,97135,0,0,0,1,1,0,0,0,0,1,1,1,0
62472,70883,0,0,0,1,1,0,0,1,0,1,1,1,0
4829,86889,0,0,0,1,1,0,1,0,0,1,1,1,0
34308,78854,0,0,0,1,1,1,0,0,0,1,1,1,0
2854,38388,0,0,1,0,0,0,0,0,0,1,1,1,0
46141,96658,0,0,1,0,0,0,0,1,0,1,1,1,0
31912,78685,0,0,1,0,0,0,1,0,0,1,1,1,0
75375,99847,0,0,1,0,0,0,1,0,1,1,1,1,0
73126,76010,0,0,1,0,0,0,1,1,0,1,1,1,0
17177,77394,0,0,1,0,0,1,0,0,0,1,1,1,0
1706,69505,0,0,1,0,0,1,0,1,0,1,1,1,0
12869,20022,0,0,1,0,0,1,1,0,0,1,1,1,0
14209,50601,0,0,1,0,1,0,0,0,0,1,1,1,0
5962,56296,0,0,1,0,1,0,0,1,0,1,1,1,0
2201,31747,0,0,1,0,1,0,1,0,0,1,1,1,0
40758,97756,0,0,1,1,0,0,0,0,0,1,1,1,0
59055,72391,0,0,1,1,0,0,0,1,0,1,1,1,0
62600,63697,0,0,1,1,0,0,1,0,0,1,1,1,0
2237,71616,0,0,1,1,0,1,0,0,0,1,1,1,0
31392,69112,0,1,0,0,0,0,0,0,0,0,0,0,0
53756,75457,0,1,0,0,0,0,0,0,0,0,0,1,0
65108,72546,0,1,0,0,0,0,0,0,0,0,1,0,0
12624,66272,0,1,0,0,0,0,0,0,0,0,1,1,0
23770,53089,0,1,0,0,0,0,0,0,0,1,0,0,0
23929,35838,0,1,0,0,0,0,0,0,0,1,0,1,0
14364,85876,0,1,0,0,0,0,0,0,0,1,1,0,0
38087,65143,0,1,0,0,0,0,0,0,0,1,1,1,0
