"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1050,1,1,755,0.0342394153277079
"2",2,5000,25804,30,30,755,0.51327436765035
"3",3,10000,105100,97,98,755,1.69105689922969
"4",4,15000,234539,234,235,755,3.81908748149872
"5",5,20000,417410,396,396,755,7.05850648085276
"6",6,25000,657244,657,657,755,11.3941611528397
"7",7,30000,941479,920,920,755,16.8665898839633
"8",8,35000,1277545,1265,1265,755,21.8621590654055
"9",9,40000,1685653,1686,1686,755,28.7609761317571
"10",10,45000,2112087,2223,2224,755,36.0095095833143
