"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1024,0,0,406,0.0424929102261861
"2",2,5000,26744,25,25,406,0.643630186716715
"3",3,10000,106257,113,111,406,2.30366903543472
"4",4,15000,237752,223,223,406,5.13291476170222
"5",5,20000,423108,396,396,406,9.47019453048706
"6",6,25000,658567,625,623,406,14.8295061985652
"7",7,30000,949047,875,874,406,21.0985820770264
"8",8,35000,1293845,1204,1199,406,30.650562953949
"9",9,40000,1693612,1602,1594,406,38.0195991277695
"10",10,45000,2131801,1994,1987,406,48.9655632535617
