"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1120,0,0,848,0.0557120005289714
"2",2,5000,27790,14,14,848,0.706623991330465
"3",3,10000,109488,63,63,848,2.31637905041377
"4",4,15000,244351,135,135,848,5.20581566492716
"5",5,20000,435365,267,267,848,9.42860807577769
"6",6,25000,680942,379,379,848,14.8877697269122
"7",7,30000,986838,550,550,848,21.4836195508639
"8",8,35000,1339118,721,721,848,29.4191856662432
"9",9,40000,1744226,970,971,848,38.3619116107623
"10",10,45000,2202899,1174,1175,848,49.3725688060125
