"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1036,0,0,945,0.109089064598083
"2",2,5000,26466,22,22,945,0.901717833677928
"3",3,10000,104185,106,106,945,1.99574108521144
"4",4,15000,234520,253,253,945,4.34733018477758
"5",5,20000,419581,443,443,945,7.91077115138372
"6",6,25000,655468,709,709,945,12.3113576968511
"7",7,30000,945256,954,955,945,17.9309557318687
"8",8,35000,1286919,1278,1279,945,24.1436880191167
"9",9,40000,1682135,1695,1695,945,31.3201172828674
"10",10,45000,2122749,2160,2162,945,40.8093530337016
