"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1120,1,1,606,0.294807867209117
"2",2,5000,26156,21,22,606,1.01059604883194
"3",3,10000,106430,101,101,606,2.60246864954631
"4",4,15000,238310,219,220,606,5.36975591977437
"5",5,20000,422684,359,360,606,9.34958295027415
"6",6,25000,664628,589,590,606,14.522715417544
"7",7,30000,952411,821,824,606,21.3125739336014
"8",8,35000,1294474,1186,1188,606,26.9706818342209
"9",9,40000,1688219,1531,1533,606,35.3961469332377
"10",10,45000,2139912,2009,2010,606,45.00107096831
