"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1039,3,3,848,0.0402525305747986
"2",2,5000,26751,20,20,848,0.546700465679169
"3",3,10000,107570,73,73,848,2.29604109128316
"4",4,15000,241043,181,181,848,5.17197651863098
"5",5,20000,430214,353,353,848,9.53964509566625
"6",6,25000,667005,525,525,848,14.7913191556931
"7",7,30000,966981,793,794,848,21.3972949186961
"8",8,35000,1313179,993,994,848,29.0975084543228
"9",9,40000,1709183,1397,1397,848,38.1242030382156
"10",10,45000,2175123,1732,1734,848,48.3413946111997
