"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1038,2,2,606,0.203853217760722
"2",2,5000,26208,22,22,606,0.677232499917348
"3",3,10000,106102,127,127,606,2.67073326508204
"4",4,15000,235771,202,205,606,5.35527810255686
"5",5,20000,420245,405,406,606,9.34071346918742
"6",6,25000,655313,640,640,606,14.2359046498934
"7",7,30000,945198,936,941,606,20.5936074137688
"8",8,35000,1288547,1284,1285,606,26.8741215348244
"9",9,40000,1686566,1667,1670,606,35.8543524463971
"10",10,45000,2117757,2155,2158,606,44.5877608180046
