"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1039,0,0,755,0.0321220676104228
"2",2,5000,27164,16,16,755,0.532408420244853
"3",3,10000,109406,49,49,755,1.64330850044886
"4",4,15000,247137,145,145,755,3.89875291585922
"5",5,20000,436384,245,245,755,7.09903341531754
"6",6,25000,682124,367,367,755,11.3551446000735
"7",7,30000,977599,562,562,755,16.4305312474569
"8",8,35000,1336606,723,723,755,22.2917194485664
"9",9,40000,1743909,1042,1043,755,28.4267540494601
"10",10,45000,2207193,1215,1215,755,36.6617079138756
