"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1072,0,0,606,0.0825859149297078
"2",2,5000,27195,15,15,606,0.843414668242137
"3",3,10000,110086,68,68,606,2.46987381776174
"4",4,15000,244713,148,148,606,4.85836126804352
"5",5,20000,436594,199,199,606,8.75712909698486
"6",6,25000,681874,401,403,606,13.303547736009
"7",7,30000,980314,539,540,606,21.129197649161
"8",8,35000,1339297,735,735,606,27.9267273147901
"9",9,40000,1748137,1004,1005,606,35.249246331056
"10",10,45000,2213627,1251,1254,606,45.381282834212
