"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1060,1,1,945,0.0916448990503947
"2",2,5000,26360,26,26,945,0.585568948586782
"3",3,10000,105881,105,105,945,1.84598955313365
"4",4,15000,238621,212,213,945,4.15137383540471
"5",5,20000,421108,365,365,945,7.67335085074107
"6",6,25000,660872,601,601,945,13.1440711657206
"7",7,30000,950585,954,954,945,18.0861873984337
"8",8,35000,1291563,1230,1230,945,24.0062530676524
"9",9,40000,1689550,1570,1570,945,31.1613729993502
"10",10,45000,2135361,1932,1932,945,40.2824059526126
