"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1003,0,0,848,0.0498830993970235
"2",2,5000,26258,24,24,848,0.577434492111206
"3",3,10000,104442,104,104,848,2.29108697970708
"4",4,15000,234650,230,230,848,5.42204153140386
"5",5,20000,418306,439,439,848,9.76436773538589
"6",6,25000,653493,678,678,848,14.9231626431147
"7",7,30000,937932,1044,1044,848,21.4268221259117
"8",8,35000,1284166,1360,1360,848,28.9778743664424
"9",9,40000,1671077,1714,1715,848,38.3425841530164
"10",10,45000,2111765,2281,2282,848,47.9435609181722
