"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1031,1,1,848,0.0481293598810832
"2",2,5000,26268,28,28,848,0.609520614147186
"3",3,10000,106025,104,105,848,2.32852993011475
"4",4,15000,236042,212,212,848,5.31521387894948
"5",5,20000,422814,401,401,848,9.63192727565765
"6",6,25000,658067,589,590,848,15.029018553098
"7",7,30000,949031,849,851,848,21.6611461838086
"8",8,35000,1292102,1204,1204,848,29.3480303923289
"9",9,40000,1687439,1587,1588,848,37.9634731729825
"10",10,45000,2137110,1951,1951,848,48.6551097194354
