"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1066,1,1,606,0.096673583984375
"2",2,5000,26473,37,37,606,0.857467965284983
"3",3,10000,104843,114,114,606,2.83979930082957
"4",4,15000,234409,255,255,606,5.3437904993693
"5",5,20000,416156,464,464,606,9.27258141835531
"6",6,25000,652242,695,698,606,14.9497679670652
"7",7,30000,935794,962,963,606,20.3142865022024
"8",8,35000,1274259,1304,1305,606,26.6108075857162
"9",9,40000,1670885,1777,1781,606,34.3193678855896
"10",10,45000,2110452,2115,2127,606,44.0019550323486
