"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1055,0,0,755,0.0307370821634928
"2",2,5000,26544,22,22,755,0.51140646537145
"3",3,10000,107061,87,87,755,1.7300327817599
"4",4,15000,240149,211,211,755,4.00477751493454
"5",5,20000,428616,344,344,755,7.16056450208028
"6",6,25000,670007,533,533,755,11.4645506342252
"7",7,30000,962718,765,765,755,16.5361036340396
"8",8,35000,1310871,1024,1024,755,22.0498337666194
"9",9,40000,1711667,1306,1308,755,28.8413628498713
"10",10,45000,2167563,1694,1695,755,36.3816728313764
