"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1023,2,2,755,0.0322047511736552
"2",2,5000,26267,37,37,755,0.481636850039164
"3",3,10000,105505,101,101,755,1.69329173167547
"4",4,15000,238379,230,230,755,3.86626881758372
"5",5,20000,421817,374,374,755,7.13342295090357
"6",6,25000,660454,599,599,755,11.0364170511564
"7",7,30000,950004,891,891,755,16.1843539158503
"8",8,35000,1294631,1157,1157,755,22.1150302171707
"9",9,40000,1693844,1576,1576,755,28.5826249837875
"10",10,45000,2144302,1957,1957,755,36.4822563012441
