"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1051,1,1,945,0.0841957807540894
"2",2,5000,27001,15,15,945,0.536585466066996
"3",3,10000,108461,85,86,945,1.83915185133616
"4",4,15000,241035,172,172,945,4.3304801662763
"5",5,20000,429516,314,314,945,7.51449548403422
"6",6,25000,667125,530,530,945,12.2372987985611
"7",7,30000,959462,779,779,945,17.4251369158427
"8",8,35000,1309178,1004,1004,945,24.2845147331556
"9",9,40000,1716094,1420,1420,945,31.5013017018636
"10",10,45000,2169748,1703,1704,945,39.7494288007418
