"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1085,2,2,755,0.0326550324757894
"2",2,5000,26242,28,28,755,0.473231097062429
"3",3,10000,104198,120,120,755,1.63108381827672
"4",4,15000,234447,248,248,755,3.82720954815547
"5",5,20000,417411,433,433,755,7.01184216737747
"6",6,25000,653633,677,677,755,10.8905859510104
"7",7,30000,936177,1011,1011,755,15.9347874323527
"8",8,35000,1276586,1366,1366,755,21.8740002671878
"9",9,40000,1670962,1797,1798,755,28.6336748520533
"10",10,45000,2107166,2188,2189,755,35.967781150341
