"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1045,1,1,945,0.101840301354726
"2",2,5000,26914,12,12,945,0.543783068656921
"3",3,10000,108897,72,72,945,1.90019736687342
"4",4,15000,246261,129,129,945,4.23044848442078
"5",5,20000,436096,259,259,945,7.73987871805827
"6",6,25000,679908,384,384,945,12.2332695325216
"7",7,30000,981644,538,538,945,17.5979555010796
"8",8,35000,1335572,763,765,945,23.5986571828524
"9",9,40000,1742368,985,985,945,31.3157927354177
"10",10,45000,2213436,1211,1211,945,39.4165993849436
