"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1061,0,0,606,0.246264715989431
"2",2,5000,26847,24,24,606,0.718154919147491
"3",3,10000,106795,88,88,606,2.51553605000178
"4",4,15000,240581,213,213,606,5.47712026437124
"5",5,20000,428222,345,345,606,10.2268601139386
"6",6,25000,667153,532,533,606,14.6637204647064
"7",7,30000,965652,723,725,606,21.0940626343091
"8",8,35000,1311343,1040,1041,606,28.1069043199221
"9",9,40000,1714890,1347,1349,606,35.5767117182414
"10",10,45000,2168389,1803,1806,606,45.0858494321505
