"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1149,1,1,406,0.0457474708557129
"2",2,5000,27263,20,20,406,0.740721376736959
"3",3,10000,108974,62,62,406,2.21162363688151
"4",4,15000,244891,118,118,406,5.21573836803436
"5",5,20000,434368,232,232,406,9.36104622681936
"6",6,25000,684715,359,359,406,14.5820842107137
"7",7,30000,982112,589,588,406,21.0505141894023
"8",8,35000,1338238,694,692,406,28.8586444139481
"9",9,40000,1745270,989,987,406,37.8157892465591
"10",10,45000,2212405,1253,1253,406,47.8720987161001
