"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1059,1,1,406,0.048647662003835
"2",2,5000,26380,29,29,406,0.600334171454112
"3",3,10000,105363,98,98,406,2.3106631398201
"4",4,15000,235593,227,227,406,4.93553526798884
"5",5,20000,420823,439,434,406,9.12951281070709
"6",6,25000,659144,682,679,406,14.733955625693
"7",7,30000,939665,922,916,406,21.0810815533002
"8",8,35000,1276597,1258,1255,406,28.8888564109802
"9",9,40000,1677877,1712,1706,406,37.8183016300201
"10",10,45000,2123134,2121,2109,406,47.5343054970105
