"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1096,2,2,848,0.040606411298116
"2",2,5000,26383,26,26,848,0.547276699542999
"3",3,10000,105269,121,121,848,2.23692657152812
"4",4,15000,235850,248,248,848,5.19036455154419
"5",5,20000,418411,438,438,848,9.44137599468231
"6",6,25000,653145,656,657,848,14.9431984186172
"7",7,30000,945042,993,993,848,21.0511249542236
"8",8,35000,1285630,1317,1317,848,29.4599485635757
"9",9,40000,1673273,1595,1595,848,38.3938645044963
"10",10,45000,2123395,2162,2163,848,48.3513913432757
