"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1090,6,6,945,0.104357469081879
"2",2,5000,26677,35,35,945,0.590218599637349
"3",3,10000,103988,106,107,945,1.99828599691391
"4",4,15000,235559,226,226,945,4.17890125115713
"5",5,20000,417601,424,425,945,7.85444358189901
"6",6,25000,653757,717,717,945,12.1934922337532
"7",7,30000,944636,996,996,945,17.8259913484255
"8",8,35000,1283570,1330,1330,945,25.0564315517743
"9",9,40000,1671305,1695,1696,945,31.47235566775
"10",10,45000,2114553,2292,2293,945,40.2833963354429
